hero1,hero2
ANT-MAN II/SCOTT HAR,"RICHARDS, NATHANIEL"
ANT-MAN II/SCOTT HAR,WASP/JANET VAN DYNE 
ANT-MAN II/SCOTT HAR,WASP/JANET VAN DYNE 
ANT-MAN II/SCOTT HAR,SHELLSHOCK/
ANT-MAN/DR. HENRY J.,NEKRA/ADRIENNE HATRO
ANT-MAN/DR. HENRY J.,SCARLET WITCH/WANDA 
ANT-MAN/DR. HENRY J.,TIGRA/GREER NELSON
ANT-MAN/DR. HENRY J.,FIREBIRD/BONITA JUAR
ANT-MAN/DR. HENRY J.,PROFESSOR X/CHARLES 
ANT-MAN/DR. HENRY J.,STORM/ORORO MUNROE S
ANT-MAN/DR. HENRY J.,STORM/ORORO MUNROE S
ANT-MAN/DR. HENRY J.,THING/BENJAMIN J. GR
ANT-MAN/DR. HENRY J.,THING/BENJAMIN J. GR
ANT-MAN/DR. HENRY J.,THING/BENJAMIN J. GR
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
ANT-MAN/DR. HENRY J.,JINKU
ANT-MAN/DR. HENRY J.,"PARKER, MAY"
ANT-MAN/DR. HENRY J.,LIVING LASER/ARTHUR 
ANT-MAN/DR. HENRY J.,LIVING LASER/ARTHUR 
ANT-MAN/DR. HENRY J.,"DEWOLFF, JEAN"
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL
ANT-MAN/DR. HENRY J.,BLACK PANTHER/T'CHAL
ANT-MAN/DR. HENRY J.,USAGENT/CAPTAIN JOHN
ANT-MAN/DR. HENRY J.,USAGENT/CAPTAIN JOHN
ANT-MAN/DR. HENRY J.,MADAME MASQUE III
ANT-MAN/DR. HENRY J.,MADAME MASQUE III
ANT-MAN/DR. HENRY J.,PELIALI
ANT-MAN/DR. HENRY J.,VISION 
ANT-MAN/DR. HENRY J.,VISION 
ANT-MAN/DR. HENRY J.,MARRINA/MARRINA SMAL
ANT-MAN/DR. HENRY J.,HAWK
ANT-MAN/DR. HENRY J.,HAWK
ANT-MAN/DR. HENRY J.,HAWK
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,IRON MAN/TONY STARK 
ANT-MAN/DR. HENRY J.,CRYSTAL [INHUMAN]
ANT-MAN/DR. HENRY J.,IGOR
ANT-MAN/DR. HENRY J.,INVISIBLE WOMAN/SUE 
ANT-MAN/DR. HENRY J.,BISHOP /
ANT-MAN/DR. HENRY J.,"ZARRKO, ARTHUR"
ANT-MAN/DR. HENRY J.,WONDER MAN/SIMON WIL
ANT-MAN/DR. HENRY J.,WONDER MAN/SIMON WIL
ANT-MAN/DR. HENRY J.,WONDER MAN/SIMON WIL
ANT-MAN/DR. HENRY J.,SPIDER-MAN/PETER PAR
ANT-MAN/DR. HENRY J.,"DUGAN, TIMOTHY ALOYI"
ANT-MAN/DR. HENRY J.,"DUGAN, TIMOTHY ALOYI"
ANT-MAN/DR. HENRY J.,PHARAOH RAMA-TUT
ANT-MAN/DR. HENRY J.,THANOS DOPPELGANGER
ANT-MAN/DR. HENRY J.,CAPRICORN/WILLARD WE
ANT-MAN/DR. HENRY J.,"JONES, CHARLOTTE"
ANT-MAN/DR. HENRY J.,THUNDERSTRIKE/ERIC K
ANT-MAN/DR. HENRY J.,BINARY/CAROL DANVERS
ANT-MAN/DR. HENRY J.,MR. FANTASTIC/REED R
ANT-MAN/DR. HENRY J.,"HUDSON, HEATHER"
ANT-MAN/DR. HENRY J.,EGO
ANT-MAN/DR. HENRY J.,CROSSBONES/BROCK BIN
ANT-MAN/DR. HENRY J.,SHE-HULK/JENNIFER WA
ANT-MAN/DR. HENRY J.,SCREAMING MIMI/MELIS
ANT-MAN/DR. HENRY J.,GALACTUS/GALAN
ANT-MAN/DR. HENRY J.,ULTRON
ANT-MAN/DR. HENRY J.,CAPTAIN AMERICA
ANT-MAN/DR. HENRY J.,HUMAN TORCH DOPPELGA
ANT-MAN/DR. HENRY J.,FATHER TIME
ANT-MAN/DR. HENRY J.,BLACK KNIGHT V/DANE 
ANT-MAN/DR. HENRY J.,QUASAR III/WENDELL V
ANT-MAN/DR. HENRY J.,MOONSTONE II/KARLA S
ANT-MAN/DR. HENRY J.,WEREWOLF BY NIGHT/JA
ANT-MAN/DR. HENRY J.,MOONRAKER/SLADE TRUM
ANT-MAN/DR. HENRY J.,"KORVAC, MICHAEL"
ANT-MAN/DR. HENRY J.,"MASTERSON, KEVIN"
ANT-MAN/DR. HENRY J.,"WOO, JIMMY"
ANT-MAN/DR. HENRY J.,"NELSON, FRANKLIN FOG"
ANT-MAN/DR. HENRY J.,KINGPIN/WILSON FISK
ANT-MAN/DR. HENRY J.,THOR/DR. DONALD BLAK
ANT-MAN/DR. HENRY J.,MOON KNIGHT/MARC SPE
ANT-MAN/DR. HENRY J.,GAMBIT/REMY LEBEAU 
ANT-MAN/DR. HENRY J.,"ZIMMER, ABE"
ANT-MAN/DR. HENRY J.,JUSTICE II/VANCE AST
ANT-MAN/DR. HENRY J.,QUICKSILVER/PIETRO M
ANTHROMORPHO,"HARKNESS, AGATHA"
ANTHROMORPHO,HUMAN TORCH/JOHNNY S
ANTIBODY,MAN-THING/THEODORE T
APE MAN/GORDON MONK ,"FREDERICKS, GENERAL"
APE MAN/GORDON MONK ,RED GHOST/IVAN KRAGO
APE MAN/GORDON MONK ,"PAGE, KAREN"
APE MAN/GORDON MONK ,CYCLOPS/SCOTT SUMMER
APOCALYPSE/EN SABAH ,JUGGERNAUT/CAIN MARK
APOCALYPSE/EN SABAH ,CALIBAN/
APOCALYPSE/EN SABAH ,ROGUE /
APOCALYPSE/EN SABAH ,ROGUE /
APOCALYPSE/EN SABAH ,LEECH
APOCALYPSE/EN SABAH ,"ESSEX, REBECCA"
APOCALYPSE/EN SABAH ,BOOMER/TABITHA SMITH
APOCALYPSE/EN SABAH ,SHIP
APOCALYPSE/EN SABAH ,THOR/DR. DONALD BLAK
APOCALYPSE/EN SABAH ,THING/BENJAMIN J. GR
APOCRYPHUS,RAVONNA LEXUS RENSLA
APPALLA,WONG
AQUARIUS II/,GEMINI/JOSHUA LINK
AQUARIUS/DARREN BENT,IRON MAN/TONY STARK 
AQUARIUS/DARREN BENT,GEMINI/JOSHUA LINK
ARABIAN KNIGHT/ABDUL,DARKSTAR/LAYNIA SERG
ARABIAN KNIGHT/ABDUL,HAWK
ARABIAN KNIGHT/ABDUL,QUASAR III/WENDELL V
ARABIAN KNIGHT/ABDUL,URSA MAJOR/MIKHAIL U
ARABIAN KNIGHT/ABDUL,"ROM, SPACEKNIGHT"
ARAGORN,WONG
ARAGORN,YMIR
ARAGORN,BLACK KNIGHT V/DANE 
ARAGORN,ICEMAN/ROBERT BOBBY 
ARAKI [SHI'AR],CORSAIR
"ARBOGAST, BAMBI",BINARY/CAROL DANVERS
"ARBOGAST, BAMBI",UNUSCIONE
"ARBOGAST, BAMBI","LANG, CASSANDRA CASS"
"ARBOGAST, BAMBI",IRON MAN/TONY STARK 
"ARBOGAST, BAMBI",IRON MAN/TONY STARK 
"ARBOGAST, BAMBI","MARTINELLI, VINCENT "
"ARBOGAST, BAMBI","STANE, OBADIAH"
"ARBOGAST, BAMBI",SPIDER-WOMAN II/JULI
"ARBOGAST, BAMBI",BEETLE/ABNER RONALD 
"ARBOGAST, BAMBI",THOR/DR. DONALD BLAK
ARCADE/,CYCLOPS/SCOTT SUMMER
ARCADE/,NIGHTCRAWLER/KURT WA
ARCADIUS,TRITON
ARCANNA/ARCANNA JONE,DR. SPECTRUM/JOSEPH 
ARCANNA/ARCANNA JONE,TOM THUMB/THOMAS THO
ARCANNA/ARCANNA JONE,WONG
ARCANNA/ARCANNA JONE,BEAST/HENRY &HANK& P
ARCHAEOPTERYX/TONAJA,GORGON [INHUMAN]
ARCHAEOPTERYX/TONAJA,NEIFI [INHUMAN]
ARCHAEOPTERYX/TONAJA,TRITON
ARCHER/JUDE BLACK,POLARIS/LORNA DANE
ARCHER/JUDE BLACK,FIXX
ARCLIGHT/PHILLIPA SO,STORM/ORORO MUNROE S
ARCLIGHT/PHILLIPA SO,MINDBLAST
ARCLIGHT/PHILLIPA SO,YELLOWJACKET II/RITA
ARES [GREEK GOD],"MADISON, TAYLOR"
ARES [GREEK GOD],BALDER [ASGARDIAN]
ARES [GREEK GOD],ZEUS
ARGOS,CANNONBALL II/SAM GU
ARIEL II,SIRYN/THERESA ROURKE
ARIEL II,SIRYN/THERESA ROURKE
ARIES II/GROVER RAYM,IRON MAN/TONY STARK 
ARISHEM [CELESTIAL],ERISHKIGEL II/HOLLY 
ARKO,VOLSTAGG
ARKO,"NORRISS, SISTER BARB"
ARKON,WASP/JANET VAN DYNE 
ARMAGEDDON MAN,DOMINO III/BEATRICE/
"ARMBRUSTER, COLONEL ",PROFESSOR X/CHARLES 
ARON [WATCHER],KARNAK [INHUMAN]
ARON [WATCHER],INVISIBLE WOMAN/SUE 
ARON [WATCHER],INVISIBLE WOMAN/SUE 
ARON [WATCHER],INVISIBLE WOMAN/SUE 
ARON [WATCHER],"SUAREZ, RAPHAEL"
ARON [WATCHER],MR. FANTASTIC/REED R
ARON [WATCHER],COLLECTOR/TANELEER T
ARON [WATCHER],GLABOO
ARON [WATCHER],SHE-HULK/JENNIFER WA
ARON [WATCHER],THING/BENJAMIN J. GR
ARRANGER/,"ROBERTSON, JOE"
ARRANGER/,"PARKER, MAY"
ARRANGER/,SHA SHAN
ARRANGER/,"TORK, SGT."
ARRANGER/,KINGPIN/WILSON FISK
ARSENAL,SCARLET WITCH/WANDA 
ASANO,COLOSSUS II/PETER RA
"ASH, BRANDY",GORGON [INHUMAN]
ASHEMA [CELESTIAL],HUMAN TORCH/JOHNNY S
ASHEMA [CELESTIAL],THOR/DR. DONALD BLAK
ASHEMA [CELESTIAL],TECHNARX
ASKANI,FOXBAT
ASMODEUS,WONG
ASP II/CLEO,BATTLESTAR/LEMAR HOS
ASP II/CLEO,DIAMONDBACK II/RACHE
ASP II/CLEO,PUFF ADDER
ASP II/CLEO,BOMBSHELL/
ASP II/CLEO,RATTLER
ASP II/CLEO,CLOWN/CRAFTY ELIOT F
ASTRA,BLACK PANTHER/T'CHAL
ASTRA II,COLOSSUS II/PETER RA
ASTRA II,WOLVERINE/LOGAN 
ASTRA II,"MUELLER, AMANDA"
ASTROLOGER/,BLACK WIDOW/NATASHA 
"ASTROVIK, ARNOLD",NIGHT THRASHER/DUANE
"ASTROVIK, NORMA",MS. MARVEL II/SHARON
ATALANTA,ROCK/SAMUEL JOHN ROC
ATALANTA,"JONES, MARLO CHANDLE"
ATALANTA,CASSIOPEIA
ATALANTA,"BANNER, BETTY ROSS T"
ATHENA [GREEK GOD],ODIN [ASGARDIAN]
ATHENA [GREEK GOD],PROMETHEUS [OLYMPIAN
"ATOR, GENERAL","RICHARDS, NATHANIEL"
ATTUMA,SERGEI
ATTUMA,BLACK MORAY
ATTUMA,BOX/ROGER BOCHS
ATTUMA,AURORA/JEANNE-MARIE 
AURIC/,PATHWAY/LAURA DEAN
AURORA/JEANNE-MARIE ,CAPTAIN AMERICA
AURORA/JEANNE-MARIE ,HERCULES [GREEK GOD]
AURORA/JEANNE-MARIE ,WOLVERINE/LOGAN 
AURORA/JEANNE-MARIE ,WOLVERINE/LOGAN 
AURORA/JEANNE-MARIE ,PROFESSOR X/CHARLES 
AURORA/JEANNE-MARIE ,NORTHSTAR/JEAN-PAUL 
AURORA/JEANNE-MARIE ,NORTHSTAR/JEAN-PAUL 
AURORA/JEANNE-MARIE ,"CLARKE, GENERAL JERE"
AURORA/JEANNE-MARIE ,"SMALLWOOD, DAN"
AURORA/JEANNE-MARIE ,SHAMAN/MICHAEL TWOYO
AURORA/JEANNE-MARIE ,WILD CHILD/KYLE GIBN
AURORA/JEANNE-MARIE ,SASQUATCH/WALTER LAN
AURORA/JEANNE-MARIE ,SASQUATCH/WALTER LAN
AURORA/JEANNE-MARIE ,TOAD/MORTIMER TOYNBE
AURORA/JEANNE-MARIE ,BEAST/HENRY &HANK& P
"AUSTIN, SUSAN","SAPRISTI, JERRY"
"AUSTIN, SUSAN",HOGUN [ASGARDIAN]
"AUSTIN, SUSAN",THUNDERSTRIKE/ERIC K
"AUSTIN, SUSAN",SALLA
"AUSTIN, SUSAN",HIGH EVOLUTIONARY/HE
"AUTHIER, POLICE CHIE",BANSHEE/SEAN CASSIDY
AVALANCHE/DOMINIC PE,FORGE
AVALANCHE/DOMINIC PE,SUPER SABRE/MARTIN F
AVALANCHE/DOMINIC PE,KRISTOFF/KRISTOFF VE
AVALANCHE/DOMINIC PE,MYSTIQUE/RAVEN DARKH
AVALANCHE/DOMINIC PE,CYCLOPS/SCOTT SUMMER
AVALANCHE/DOMINIC PE,BLOB/FRED J. DUKES
AVALANCHE/DOMINIC PE,BOOMER/TABITHA SMITH
AVIA,ZABU
AVIA,ICEMAN/ROBERT BOBBY 
AVIUS,SANDMAN/WILLIAM BAKE
"AVRIL, SALLY",HUMAN TORCH/JOHNNY S
"AVRIL, SALLY","JAMESON, J. JONAH"
AWESOME ANDROID,SUB-MARINER/NAMOR MA
"AYALA, AWILDA",WHITE TIGER/HECTOR A
"AYALA, AWILDA","BYRD, NATHANIEL ALEX"
BAAL II,"NELSON, FRANKLIN FOG"
"BAILEY, SARA GREY",M
"BAILEY, SARA GREY",CYCLOPS/SCOTT SUMMER
"BAKER, ANNE-MARIE","WATSON-PARKER, MARY "
"BAKER, ANNE-MARIE",KILLER SHRIKE/SIMON 
BALDER [ASGARDIAN],FANDRAL [ASGARDIAN]
BALDER [ASGARDIAN],FANDRAL [ASGARDIAN]
BALDER [ASGARDIAN],FANDRAL [ASGARDIAN]
BALDER [ASGARDIAN],THING/BENJAMIN J. GR
BALDER [ASGARDIAN],"JACKSON, ANDREW JOCK"
BALDER [ASGARDIAN],"GRANT, SILAS"
BALDER [ASGARDIAN],HERMOD [ASGARDIAN]
BALDER [ASGARDIAN],CAPTAIN AMERICA
BALDER [ASGARDIAN],GEIRRODUR
BALDER [ASGARDIAN],KARNILLA [ASGARDIAN]
BALDER [ASGARDIAN],KARNILLA [ASGARDIAN]
BALDER [ASGARDIAN],KARNILLA [ASGARDIAN]
BALDER [ASGARDIAN],"FIELSTEIN, FIREWORKS"
BALDER [ASGARDIAN],ZON
BALDER [ASGARDIAN],"MASTERSON, KEVIN"
BALDER [ASGARDIAN],THOR II/ROGER RED NO
BALDER [ASGARDIAN],ENCHANTRESS/AMORA/HE
BALDER [ASGARDIAN],ODIN [ASGARDIAN]
BALDER [ASGARDIAN],BLACK BOLT/BLACKANTO
BALDER [ASGARDIAN],VIZIER
BALDER [ASGARDIAN],VIZIER
BALDER [ASGARDIAN],HRIMHARI
BALDER [ASGARDIAN],WRECKER III/DIRK GAR
BALDER [ASGARDIAN],SURTUR
BALDER [ASGARDIAN],HOGUN [ASGARDIAN]
BALDER [ASGARDIAN],TIWAZ
BALDER [ASGARDIAN],THOR/DR. DONALD BLAK
BALDER [ASGARDIAN],THOR/DR. DONALD BLAK
BALDER [ASGARDIAN],LOKI [ASGARDIAN]
BALDER [ASGARDIAN],VOLSTAGG
BALDER [ASGARDIAN],SIF
BALDER [ASGARDIAN],RECORDER II
BALDER [ASGARDIAN],TOKKOTS
"BALDWIN, JUSTIN",SPEEDBALL/ROBBIE BAL
"BALDWIN, JUSTIN",SPEEDBALL/ROBBIE BAL
"BALDWIN, MADELYNE MA",NAMORITA/NITA PRENTI
"BALDWIN, MADELYNE MA",SHE-HULK/JENNIFER WA
"BALDWIN, MADELYNE MA",NIGHT THRASHER/DUANE
"BALDWIN, MADELYNE MA","SHAUNEGHANN, MICHAEL"
"BALDWIN, MADELYNE MA",GUARDIAN III
"BALDWIN, MADELYNE MA","SUTTON, JOHN"
"BALDWIN, MADELYNE MA",TAI II
"BALDWIN, MADELYNE MA","STONE, NELSON"
"BALLANTINE, DEVON",KORATH THE PURSUER
"BALLANTINE, KAYLA",BINARY/CAROL DANVERS
"BALLANTINE, KAYLA",SHE-HULK/JENNIFER WA
"BALLANTINE, KAYLA",MR. FANTASTIC/REED R
"BALLANTINE, KAYLA",HAVOK/ALEX SUMMERS 
BAMBI,KINGPIN/WILSON FISK
BAMBI,FOREIGNER/RAFAEL BAS
BANDIT/,GEE/ALEX POWER
"BANKS, SHARON","WATSON-PARKER, MARY "
"BANNER, BETTY ROSS T","QUARTERMAIN, CLAY"
"BANNER, BETTY ROSS T","QUARTERMAIN, CLAY"
"BANNER, BETTY ROSS T",ULYSSES II
"BANNER, BETTY ROSS T","LARGO, CHIEF"
"BANNER, BETTY ROSS T",HULK/DR. ROBERT BRUC
"BANNER, BETTY ROSS T",HULK/DR. ROBERT BRUC
"BANNER, BETTY ROSS T",HULK/DR. ROBERT BRUC
"BANNER, BETTY ROSS T",HULK/DR. ROBERT BRUC
"BANNER, BETTY ROSS T",HULK/DR. ROBERT BRUC
"BANNER, BETTY ROSS T",HULK/DR. ROBERT BRUC
"BANNER, BETTY ROSS T",HOTSHOT/LOUIS
"BANNER, BETTY ROSS T",BOOMERANG/FRED MYERS
"BANNER, BETTY ROSS T","WILSON, JIM"
"BANNER, BETTY ROSS T",IRON MAN V/TEEN TONY
"BANNER, BETTY ROSS T",GREMLIN/
"BANNER, BETTY ROSS T",MERCY
